Neighborhood,Income_Estimate,Income_MOE,Cluster,Income_Bracket
Central Northside,"$96,353,500","$14,187,903",1,Medium ($50M - $100M)
Westwood,"$91,857,100","$11,304,497",1,Medium ($50M - $100M)
Strip District,"$91,738,300","$37,240,188",1,Medium ($50M - $100M)
Duquesne Heights,"$91,613,300","$18,318,438",1,Medium ($50M - $100M)
Lincoln-Lemington-Belmar,"$91,032,900","$15,513,365",1,Medium ($50M - $100M)
Overbrook,"$90,146,300","$10,295,987",1,Medium ($50M - $100M)
Crafton Heights,"$89,278,600","$14,312,490",1,Medium ($50M - $100M)
Morningside,"$87,871,100","$11,202,093",1,Medium ($50M - $100M)
Lincoln Place,"$84,551,900","$12,450,241",1,Medium ($50M - $100M)
Northview Heights,"$8,755,000","$2,398,522",1,Very Low (< $10M)
Troy Hill,"$77,521,600","$22,171,206",1,Medium ($50M - $100M)
Hazelwood,"$75,829,000","$13,563,882",1,Medium ($50M - $100M)
Ridgemont,"$7,893,900","$2,639,357",1,Very Low (< $10M)
Marshall-Shadeland,"$68,871,800","$10,291,350",1,Medium ($50M - $100M)
Garfield,"$67,632,800","$16,399,392",1,Medium ($50M - $100M)
Squirrel Hill South,"$659,886,300","$57,908,445",2,Very High (> $250M)
Upper Lawrenceville,"$65,738,500","$16,007,126",1,Medium ($50M - $100M)
Lower Lawrenceville,"$63,562,900","$9,964,615",1,Medium ($50M - $100M)
Mount Oliver Borough,"$61,592,000","$18,596,384",1,Medium ($50M - $100M)
Shadyside,"$605,635,700","$62,416,084",2,Very High (> $250M)
Knoxville,"$60,537,300","$11,423,845",1,Medium ($50M - $100M)
Hays,"$6,432,200","$1,912,520",1,Very Low (< $10M)
Point Breeze North,"$59,572,300","$9,198,291",1,Medium ($50M - $100M)
Squirrel Hill North,"$577,467,500","$66,363,784",2,Very High (> $250M)
East Allegheny,"$56,433,100","$9,846,049",1,Medium ($50M - $100M)
Central Oakland,"$55,528,300","$8,248,328",1,Medium ($50M - $100M)
Perry South,"$54,989,600","$8,757,092",1,Medium ($50M - $100M)
Manchester,"$54,372,200","$15,557,378",1,Medium ($50M - $100M)
Regent Square,"$52,288,700","$8,704,589",1,Medium ($50M - $100M)
Esplen,"$5,433,900","$2,379,084",1,Very Low (< $10M)
South Oakland,"$47,722,300","$10,823,398",1,Low ($10M - $50M)
Friendship,"$47,475,400","$8,631,431",1,Low ($10M - $50M)
Spring Hill-City View,"$46,688,500","$9,345,350",1,Low ($10M - $50M)
Elliott,"$43,215,900","$8,110,202",1,Low ($10M - $50M)
Swisshelm Park,"$43,095,600","$4,652,129",1,Low ($10M - $50M)
East Hills,"$41,528,200","$7,871,752",1,Low ($10M - $50M)
Summer Hill,"$40,337,500","$8,808,166",1,Low ($10M - $50M)
Glen Hazel,"$4,773,300","$2,914,988",1,Very Low (< $10M)
Allegheny Center,"$39,947,000","$6,437,773",1,Low ($10M - $50M)
Upper Hill,"$39,512,800","$12,264,473",1,Low ($10M - $50M)
Polish Hill,"$38,888,900","$6,374,408",1,Low ($10M - $50M)
Allentown,"$38,303,700","$7,490,207",1,Low ($10M - $50M)
Homewood North,"$37,727,300","$7,125,086",1,Low ($10M - $50M)
Brookline,"$366,945,900","$33,459,110",0,Very High (> $250M)
Arlington,"$35,349,900","$6,140,663",1,Low ($10M - $50M)
Windgap,"$34,609,300","$6,432,817",1,Low ($10M - $50M)
Crawford-Roberts,"$34,226,600","$7,964,969",1,Low ($10M - $50M)
Fairywood,"$33,908,400","$8,418,356",1,Low ($10M - $50M)
Point Breeze,"$314,958,500","$30,291,428",0,Very High (> $250M)
St. Clair,"$3,867,600","$1,527,597",1,Very Low (< $10M)
West End,"$3,615,800","$2,204,875",1,Very Low (< $10M)
Homewood South,"$29,434,400","$4,468,175",1,Low ($10M - $50M)
Beltzhoover,"$28,121,300","$6,955,896",1,Low ($10M - $50M)
Middle Hill,"$27,566,200","$5,776,017",1,Low ($10M - $50M)
New Homestead,"$27,062,600","$3,763,271",1,Low ($10M - $50M)
Mount Washington,"$267,100,700","$26,611,655",0,Very High (> $250M)
Fineview,"$25,475,500","$7,391,479",1,Low ($10M - $50M)
Oakwood,"$25,014,900","$4,076,094",1,Low ($10M - $50M)
Bloomfield,"$249,898,900","$17,631,531",0,High ($100M - $250M)
Highland Park,"$242,405,400","$35,463,933",0,High ($100M - $250M)
Greenfield,"$241,377,900","$26,174,704",0,High ($100M - $250M)
South Side Flats,"$233,098,400","$31,279,287",0,High ($100M - $250M)
Allegheny West,"$23,793,300","$22,025,939",1,Low ($10M - $50M)
Carrick,"$221,221,100","$25,358,377",0,High ($100M - $250M)
Bon Air,"$22,093,100","$4,363,955",1,Low ($10M - $50M)
Central Business District,"$210,460,000","$38,813,243",0,High ($100M - $250M)
Brighton Heights,"$201,692,800","$18,528,010",0,High ($100M - $250M)
Arlington Heights,"$2,389,600","$1,162,393",1,Very Low (< $10M)
Beechview,"$193,055,900","$20,558,894",0,High ($100M - $250M)
Larimer,"$18,139,300","$3,363,491",1,Low ($10M - $50M)
Terrace Village,"$16,879,300","$3,672,344",1,Low ($10M - $50M)
West Oakland,"$16,339,500","$3,412,753",1,Low ($10M - $50M)
Spring Garden,"$15,833,800","$2,941,611",1,Low ($10M - $50M)
Central Lawrenceville,"$144,917,900","$14,971,960",1,High ($100M - $250M)
East Carnegie,"$14,945,000","$4,062,628",1,Low ($10M - $50M)
Banksville,"$138,084,700","$25,839,799",1,High ($100M - $250M)
Stanton Heights,"$134,047,100","$15,607,514",1,High ($100M - $250M)
Mt. Oliver,"$13,962,700","$3,748,518",1,Low ($10M - $50M)
Chartiers City,"$13,805,200","$4,387,080",1,Low ($10M - $50M)
South Side Slopes,"$123,648,400","$18,884,639",1,High ($100M - $250M)
North Oakland,"$123,408,700","$20,564,747",1,High ($100M - $250M)
North Shore,"$12,397,000","$4,415,906",1,Low ($10M - $50M)
East Liberty,"$115,711,700","$16,575,789",1,High ($100M - $250M)
Homewood West,"$11,290,000","$2,726,332",1,Low ($10M - $50M)
Bluff,"$11,005,200","$3,053,715",1,Low ($10M - $50M)
Perry North,"$104,107,900","$12,948,264",1,High ($100M - $250M)
Sheraden,"$101,081,700","$11,670,389",1,High ($100M - $250M)
California-Kirkbride,"$10,718,900","$2,850,114",1,Low ($10M - $50M)
